"year","month","car_price","mileage","accident","damage"
2014,6,34412,37552,1,0
2014,6,30661,69590,1,0
2014,6,38384,48923,1,0
2014,6,33555,44759,1,0
2014,6,35314,54879,1,0
2014,6,35248,70616,1,0
2014,6,35756,58884,1,0
2014,6,38492,39136,1,0
2014,6,40478,32809,1,0
2014,6,39118,50724,1,0
2014,6,33403,54094,1,0
2014,6,39040,39525,1,0
2014,6,24193,44459,1,0
2014,6,40538,42783,1,0
2014,6,38495,43113,1,0
2014,6,42214,45227,1,0
2014,6,32989,69261,1,0
2014,6,35618,42015,1,0
2014,6,23673,63558,1,0
2014,6,25746,51951,1,0
2014,6,39842,44693,1,0
2014,6,36370,52738,1,0
2014,6,36452,65171,1,0
2014,6,40775,61331,1,0
2014,6,37925,47887,1,0
2014,6,32356,46549,1,0
2014,6,30600,49935,1,0
2014,6,36451,44221,1,0
2014,6,31802,45996,1,0
2014,6,33369,54474,1,0
2014,6,37194,51953,1,0
2014,6,36427,57831,1,0
2014,6,37685,57340,1,0
2014,6,37855,47547,1,0
2014,6,37465,36588,1,0
2014,6,39579,55405,1,0
2014,6,37278,43801,1,0
2014,6,33898,45646,1,0
2014,6,39308,45551,1,0
2014,6,34173,55607,1,0
2014,6,30160,59462,0,0
2014,6,38780,74837,0,0
2014,6,43042,38646,0,0
2014,6,47752,50235,0,0
2014,6,36046,45639,0,0
2014,6,41440,58026,0,0
2014,6,40557,51219,0,0
2014,6,35096,42600,0,0
2014,6,42085,47166,0,0
2014,6,38237,54860,0,0
2014,6,37352,49524,0,0
2014,6,42448,46094,0,0
2014,6,29320,69166,0,0
2014,6,34363,64564,0,0
2014,6,36420,58681,0,0
2014,6,38162,54454,0,0
2014,6,43934,51386,0,0
2014,6,40358,47386,0,0
2014,6,36673,58427,0,0
2014,6,39738,48054,0,0
2014,6,42371,34150,0,0
2014,6,37811,52561,0,0
2014,6,36312,46866,0,0
2014,6,38580,41242,0,0
2014,6,38366,37989,0,0
2014,6,34510,60918,0,0
2014,6,41878,52992,0,0
2014,6,44311,29390,0,0
2014,6,37499,50454,0,0
2014,6,38095,57517,0,0
2014,6,46005,35269,0,0
2014,6,49134,41906,0,0
2014,6,42423,40777,0,0
2014,6,39675,43513,0,0
2014,6,43302,45093,0,0
2014,6,40343,60406,0,0
2014,6,37835,64945,0,0
2014,6,38741,55962,0,0
2014,6,28509,75000,0,0
2014,6,38545,48356,0,0
2014,6,42750,56841,0,0
2014,6,37984,52710,0,0
2014,6,39203,57082,0,0
2014,6,42537,56217,0,0
2014,6,42008,53816,0,0
2014,6,41240,62472,0,0
2014,6,40704,52208,0,0
2014,6,38617,51658,0,0
2014,6,40851,42593,0,0
2014,6,37762,38950,0,0
2014,6,39637,32081,0,0
2014,6,42510,45568,0,0
2014,6,45218,47203,0,0
2014,6,37506,66570,0,0
2014,6,37935,49353,0,0
2014,6,40628,63210,0,0
2014,6,41988,60181,0,0
2014,6,41391,52650,0,0
2014,6,36825,52378,0,0
2014,6,40921,58778,0,0
